Дата,UserID,Продукт,Количество,Цена
2024-01-21,2379,Headphones,1,213837.77
2023-12-08,3050,Tablet,10,110342.44
2024-01-04,737,Laptop,7,61848.96
2024-08-21,3514,Smartphone,3,109688.02
2024-05-07,839,Smartphone,7,152901.19
2024-03-26,4904,Headphones,6,170264.44
2024-09-26,2199,Smartwatch,8,35904.57
2023-11-29,4502,Tablet,2,110536.16
2023-12-25,4123,Smartwatch,6,233301.7
2024-05-23,4034,Headphones,6,141445.94
2024-07-28,1680,Headphones,1,22375.72
2024-02-29,73,Laptop,1,65274.8
2024-04-18,4643,Smartwatch,8,128496.04
2023-12-23,4988,Laptop,2,220598.39
2024-09-19,4129,Smartwatch,9,231062.1
2024-02-22,1975,Tablet,11,286044.22
2024-04-09,759,Tablet,6,220203.14
2024-01-10,3911,Smartwatch,7,253258.03
2023-12-11,2066,Smartphone,10,232217.8
2024-01-14,3050,Smartwatch,2,183069.38
2024-04-19,2221,Headphones,1,146376.52
2023-11-04,715,Tablet,10,213422.1
2024-06-21,2419,Laptop,8,67158.57
2024-06-29,2516,Smartwatch,11,136283.95
2024-10-11,1810,Smartwatch,2,74852.43
2024-07-02,741,Laptop,9,228150.83
2024-01-13,2342,Smartphone,5,85303.64
2024-06-04,4070,Tablet,10,179312.4
2024-03-26,4570,Laptop,8,255021.02
2023-11-22,4462,Tablet,1,216188.2
2024-08-18,4544,Tablet,7,194303.6
2024-08-30,1660,Tablet,4,155019.19
2024-06-08,618,Laptop,5,279514.03
2024-01-03,4573,Tablet,4,61106.2
2024-02-21,3750,Tablet,4,163897.9
2024-05-25,1572,Smartwatch,10,114165.01
2024-03-02,2815,Tablet,3,232147.7
2024-09-22,4515,Smartwatch,3,54344.87
2023-12-24,1814,Laptop,6,38331.99
2023-12-23,1374,Headphones,11,98593.62
2024-07-21,1679,Laptop,6,93802.99
2024-07-29,4407,Smartphone,4,75450.8
2024-08-08,2574,Tablet,8,90635.34
2024-04-04,4943,Headphones,10,287384.47
2023-12-09,1675,Smartphone,5,124154.63
2024-01-23,809,Smartphone,7,45127.71
2023-12-29,4734,Headphones,7,76642.1
2024-06-21,4171,Smartphone,4,219056.94
2023-11-21,2360,Tablet,7,247458.27
2024-04-22,3673,Smartwatch,6,249269.94
2024-03-11,53,Laptop,2,227811.55
2023-12-12,4169,Smartwatch,3,35298.46
2023-12-28,4635,Headphones,6,76253.8
2024-04-18,4556,Tablet,7,257155.6
2024-09-17,4707,Smartphone,4,45949.54
2024-01-06,1075,Smartphone,10,106218.47
2024-01-25,3641,Headphones,8,188619.23
2023-11-25,380,Tablet,9,21161.25
2024-01-05,4769,Smartphone,1,297571.53
2024-06-21,4118,Smartwatch,4,291015.03
2024-08-30,3205,Smartwatch,11,87133.22
2023-11-15,1933,Smartwatch,11,249725.02
2024-02-18,3887,Laptop,1,156291.47
2024-09-28,4905,Smartphone,3,96547.14
2023-12-29,399,Smartphone,7,63345.39
2024-09-27,4393,Smartphone,11,82989.42
2024-08-03,2972,Smartwatch,3,295847.1
2023-11-16,4175,Headphones,11,130683.51
2024-09-26,1667,Smartphone,3,236983.31
2024-01-18,539,Headphones,1,220799.98
2023-11-06,4957,Tablet,2,108370.5
2023-10-25,4870,Headphones,6,281400.78
2023-12-02,2402,Smartphone,7,71943.6
2024-01-25,1187,Smartphone,7,44395.84
2023-12-14,3627,Headphones,3,219883.64
2023-12-04,1296,Smartwatch,5,101019.58
2024-04-12,789,Tablet,1,293759.38
2024-01-30,4564,Tablet,6,178890.44
2024-08-09,3813,Headphones,7,57716.12
2023-11-07,1065,Tablet,8,84526.98
2024-09-12,4359,Laptop,2,54398.6
2024-03-19,3859,Headphones,5,294071.8
2024-02-20,2908,Tablet,9,90859.17
2024-05-22,2543,Laptop,5,191459.2
2024-01-10,3253,Headphones,8,59172.63
2024-07-25,2549,Tablet,3,26129.72
2024-06-12,3063,Laptop,9,46983.78
2024-09-19,3924,Headphones,6,201026.44
2024-09-02,4160,Tablet,5,57955.46
2023-12-16,4285,Smartwatch,4,171026.16
2023-11-25,2716,Laptop,3,225672.44
2023-12-17,3551,Headphones,7,138675.62
2024-09-27,625,Headphones,7,110334.54
2024-10-12,4861,Headphones,11,89126.89
2024-07-07,4484,Headphones,2,36578.5
2024-05-09,1552,Tablet,10,245927.9
2023-11-08,1080,Tablet,4,227843.3
2024-08-07,1740,Tablet,5,39286.37
2024-01-03,2076,Laptop,3,84827.31
2024-01-17,1387,Tablet,3,167384.42
2023-12-08,141,Tablet,1,132485.1
2024-04-21,1890,Headphones,6,86273.17
2024-05-20,4370,Smartphone,7,92109.16
